seed,scenario,tick,time_s,position_arrived,status,contained_exact,contained_tol,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,lower_0,lower_1,lower_2,lower_3,lower_4,lower_5,upper_0,upper_1,upper_2,upper_3,upper_4,upper_5
70003,S1,12,0.24,0,VALID_NUMERICAL_BOX,1,1,-0.013814750763575662,2.004256457754356,-0.012495989687684573,0.028028465544900495,0.0,0.0,-0.06572569583518992,1.951266989986986,-0.554107131700776,-0.5771806280395335,-0.0021000171068252327,-0.004000011672686112,0.014058221695970466,2.0343036126047966,0.5540536814635804,0.6238653810255517,0.0006593943660738328,0.002440384727451216
70003,S1,13,0.26,0,VALID_NUMERICAL_BOX,1,1,-0.014064670557329352,2.004817027065254,-0.012489769770513522,0.029917311692472724,0.0,0.0,-0.07680783847028225,1.9397233774231486,-0.5918357223984694,-0.6169852508649217,-0.0017927243870302211,-0.004000011673690112,0.025139295326318884,2.0467809202283545,0.5920676675352431,0.6674810972340908,0.0007082020616250371,0.0024403847284552157
70003,S1,14,0.28,0,VALID_NUMERICAL_BOX,1,1,-0.014314465952739623,2.0054153732991034,-0.012483538806196707,0.031795281121178735,0.0,0.0,-0.08864455291934027,1.92738367240279,-0.6295739753046061,-0.6567994631562288,-0.000754170011171805,-0.004000011674694112,0.03698064867811239,2.0601305421760965,0.6300207598594231,0.7110871054731138,0.0007570097571960141,0.001513467896518508
70003,S1,15,0.3,0,VALID_NUMERICAL_BOX,1,1,-0.014564136728863558,2.006051278921527,-0.012477296895827305,0.03366161748882297,0.0,0.0,-0.10123603242653362,1.9142476831365909,-0.6673218888970943,-0.696623880246065,-0.0008341702456665214,-0.0040000116756981115,0.04958106387640209,2.0743522842886333,0.667768110939303,0.7546826473450463,0.0007872791161272184,0.001513467897522508
70003,S1,16,0.32,0,VALID_NUMERICAL_BOX,1,1,-0.014813682666780105,2.0067245112713037,-0.012471044146025172,0.03551556891488969,0.0,0.0,-0.11458247020559009,1.9003152055285801,-0.7050757895779526,-0.7364595300704416,-0.0009141704801813979,-0.004000011676702111,0.06293642609630273,2.0894459372386236,0.7055312995480592,0.7982669686387209,0.0006190955094577798,0.001513467898526508
70003,S1,17,0.34,0,VALID_NUMERICAL_BOX,1,1,-0.01506310354970061,2.0074348226496013,-0.012464780668888446,0.037356388299130655,0.0,0.0,-0.12868398599827782,1.8855860149240657,-0.7427963699943971,-0.7763071640433451,-0.0009941707147164342,-0.004000011677706111,0.0770470520883926,2.1054112766145034,0.7433103232039664,0.8418393196310526,0.0006493648684293042,0.0015134678995305081
70003,S1,18,0.36,0,VALID_NUMERICAL_BOX,1,1,-0.015312399163078378,2.008181950415584,-0.012458506581942797,0.039183333638862804,0.0,0.0,-0.1435399133993093,1.8700598716400767,-0.7805229373747272,-0.816167528365387,-0.0010741709492716306,-0.004000011678710111,0.09191325855361547,2.1222480630102467,0.7811051792500244,0.8853989553869167,0.0006796342274209885,0.0015134679005345082
70003,S1,19,0.38,0,VALID_NUMERICAL_BOX,1,1,-0.015561569294717234,2.008965617088361,-0.012452222008088345,0.04099566834476768,0.0,0.0,-0.159150372147963,1.853736521069629,-0.8182554904462381,-0.856041364150842,-0.0011541711838469872,-0.0035502999653549043,0.10753536213977512,2.139956042121125,0.8189158648558097,0.9289451360571137,0.0007099035864328329,0.0015134679015385082
70003,S1,20,0.4,1,VALID_NUMERICAL_BOX,1,1,-0.015810613734879003,2.0097855304552565,-0.012445927075544283,0.042792661554982625,0.0,0.0,-0.04992728459026785,1.9786948710435945,-0.8559940278728564,-0.8959294071316916,-0.0001452494862876916,-0.0035502999663584544,-0.009927284590267853,2.0186948710435946,0.8567423770194453,0.9724771271742992,0.0007401729454648282,0.0015134679025420586
70003,S1,21,0.42,0,VALID_NUMERICAL_BOX,1,1,-0.016059532276389888,2.010641383686356,-0.012439621917791214,0.04457358844727369,0.0,0.0,-0.06704716514879203,1.9607762828979225,-0.8937385482560078,-0.9358322908033772,-0.00021625548661563114,-0.0035502999673620046,0.0072075629511880995,2.0381444135901186,0.8943690983341122,1.0159941999467608,0.0007704423045164397,0.0015134679035456089
